Statistics for ICV command estimator.  Version 7
Master: RHEL64 Q-2019.12-SP2-4.5500898 2020/04/25 
Run date: 2020-06-03
Turbo=lite
DMEM: 492 210 16 540672:0 1704:1704 1704:1704 1704:1704 1704:1704 1704:1704 1704:1704 1:1:0:1 _optimize_unmerged_layer_dp
DMEM: 497 210 16 540672:0 0:0 0:0 0:0 0:0 0:0 0:0 1:1:0:1 _optimize_unmerged_layer_dp
DMEM: 529 210 16 540672:0 280:280 280:280 144:144 144:144 280:280 144:144 1:1:0:1 _optimize_layer_dp
DMEM: 534 210 16 540672:0 494:494 494:494 494:494 494:494 494:494 494:494 1:1:0:1 _optimize_unmerged_layer_dp
DMEM: 539 210 16 540672:0 0:0 0:0 0:0 0:0 0:0 0:0 1:1:0:1 _optimize_unmerged_layer_dp
DMEM: 571 210 16 540672:0 576:576 576:576 576:576 576:576 576:576 576:576 1:1:0:1 _optimize_layer_dp
DMEM: 576 210 16 540672:0 725:725 725:725 725:725 725:725 725:725 725:725 1:1:0:1 _optimize_unmerged_layer_dp
DMEM: 581 210 16 540672:0 0:0 0:0 0:0 0:0 0:0 0:0 1:1:0:1 _optimize_unmerged_layer_dp
DMEM: 592 210 16 540672:0 0:0 0:0 0:0 0:0 0:0 0:0 1:0:0:0 _optimize_layer_dp
DMEM: 597 210 16 540672:0 0:0 0:0 0:0 0:0 0:0 0:0 1:1:0:1 _optimize_unmerged_layer_dp
DMEM: 602 210 16 540672:0 0:0 0:0 0:0 0:0 0:0 0:0 1:0:0:0 _optimize_unmerged_layer_dp
DMEM: 613 210 16 540672:0 0:0 0:0 0:0 0:0 0:0 0:0 1:0:0:0 _optimize_layer_dp
DMEM: 618 210 16 540672:0 0:0 0:0 0:0 0:0 0:0 0:0 1:1:0:1 _optimize_unmerged_layer_dp
DMEM: 623 210 16 540672:0 0:0 0:0 0:0 0:0 0:0 0:0 1:0:0:0 _optimize_unmerged_layer_dp
CMEM: 650 0:0 0:0 0:0 0:0 0:0 0:0 0:0 3:1:0:1 10.26 0.09 0.01 NO_RULE
DMEM: 655 650 16 540672:0 0:0 0:0 0:0 0:0 0:0 0:0 1:0:0:0 _optimize_layer_dp
DMEM: 660 650 16 540672:0 0:0 0:0 0:0 0:0 0:0 0:0 1:1:0:1 _optimize_unmerged_layer_dp
